	Vineyard	Treatment	Replication	Time	Cluster weight (T0)	Berry weight(T0)	TSS (T0)	TA  (T0)	Firmness  (T0)	Multiplex (FER_RG)  (T0)	Multiplex (Ferrari)  (T0)	Rachis Index  (T0)	Cracking index  (T0)	Shattering(%) (T0)	Acceptance  (T0)	Cluster weight	Berry weight	TSS	TA	Firmness	Multiplex (FER_RG)	Multiplex (Ferrari)	Weightloss (%)	Rachis Index	Bleaching index 	Cracking index	Shatter	Shattering(%)	Decay	Decay (%)	Shriveling 	Acceptance	Vineyard_Number_of_measures	Vineyard_index	Vineyard_Std_index	Vineyard_Incidence	Vineyard_Std_Incidence	new_time	disruption_length	disruption_temperature	treatment	mapped_period	Temperature_dday	kPa
0	A	1	1	I	614.94	8.26	20.2	0.48	1.8496814	3.12	0.4752	0.1	2	0.16261749113734672	4.5	607.95	8.33	16.3	0.453	1.9364604	5.081	0.6187	1.136696263050055	0.5	3	2	2	0.3289744222386709	2	2.7403569372481287	1	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
1	A	1	2	I	576.82	7.545	20.5	0.414	2.1727874	3.824	0.5383	0.1	1	0.1733643077563191	4.5	568.28	6.82	18.7	0.468	2.0335392	3.577	0.4573	1.4805311882389787	0.4	2	3	3	0.5279087773632717	3	3.6003378616175135	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
2	A	1	3	I	511.78	8.63	18.3	0.393	0.9686222	6.102	0.8062	0.1	1	0.0	5.0	502.63	7.51	18.8	0.495	2.0547268	4.221	0.7815	1.7878776036578174	0.5	1	2	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
3	A	1	4	I	611.84	7.79	19.1	0.394	3.7728726	4.978	0.62	0.1	1	0.0	5.0	603.09	7.905	18.9	0.399	2.064517	3.41	0.3085	1.4301124476987446	0.5	3	2	2	0.33162546220298794	2	2.6214992787146194	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
4	A	1	5	I	616.66	7.865	17.4	0.468	0.9768052	2.737	0.1949	0.1	1	0.0	5.0	606.65	8.43	16.1	0.523	1.815352	5.788	0.9465	1.62326079200856	0.5	1	1	1	0.16483969339817028	1	1.3895986153465756	3	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
5	A	1	6	I	487.45	7.895	18.3	0.424	3.4142513999999995	2.62	0.211	0.1	2	0.0	4.5	480.45	7.945	18.6	0.381	2.0031102	2.101	0.1375	1.4360447225356447	0.5	3	2	0	0.0	0	0.0	2	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
6	A	1	7	I	602.06	8.555	18.6	0.315	4.7079494	4.081	0.3235	0.1	1	0.0	5.0	593.92	9.61	18.2	0.402	2.0573924	3.69	0.5821	1.3520247151446678	0.4	2	3	2	0.33674568965517243	2	3.2361260775862073	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
7	A	1	8	I	650.73	7.14	18.8	0.339	2.008902	2.328	0.1536	0.1	1	0.0	5.0	641.92	8.47	19.4	0.354	2.9215466	3.914	0.7196	1.3538641218324128	0.6	2	3	0	0.0	0	0.0	1	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
8	A	1	9	I	654.13	8.88	19.1	0.39	0.984067	3.056	0.2178	0.1	1	0.0	5.0	645.18	8.39	18.9	0.396	2.6732048	3.545	0.4502	1.3682295568159304	0.5	2	3	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
9	A	1	10	I	646.01	5.755	19.8	0.409	3.3693183999999996	3.278	0.1779	0.1	3	0.0	4.0	632.05	5.295	20.0	0.426	1.584807	5.24	0.5683	2.160957260723524	0.4	2	3	5	0.7910766553279013	5	4.188750889961237	3	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
